,Product ID,Country,Company,Factory,Number of Employees
21,1065604008,Myanmar (Birmanie),Active Pleasure Limited,Pak Chun Industrial Limited,501-1000
22,1145749003,Chine,Winson Universal Limited,Winson Universal (Jiang Xi) Industry Ltd.,1001-1500
23,1143696002,Bangladesh,HOP LUN (HK) LTD,Hop Yick ( Bangladesh) limited,8501-9000
24,1160136002,Chine,"SUZHOU LAOHONG KNITTING GARMENT CO.,LTD.","Suzhou Laohong knitting garment Co. , Ltd. NO.1 own fty",101-500
25,1117683004,Vietnam,CRYSTAL MARTIN (HONG KONG) LTD,"CRYSTAL MARTIN (VIETNAM) CO.,LTD",5501-6000
26,0928322113,Bangladesh,CRYSTAL MARTIN (HONG KONG) LTD,Crystal Martin Apparel Bangladesh Ltd.,3001-3500
27,1144083002,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"Wuhu Seduno Fashion Co., Ltd.",501-1000
28,0953737017,Vietnam,CRYSTAL MARTIN (HONG KONG) LTD,"CRYSTAL MARTIN (VIETNAM) CO.,LTD",5501-6000
29,1123828004,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"Wuhu Seduno Fashion Co., Ltd.",501-1000
30,1125720006,Bangladesh,KANIZ GARMENTS LIMITED,KANIZ GARMENTS LIMITED,2001-2500
31,1125720006,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
32,1147452001,Pakistan,ARTISTIC APPARELS (PVT) LTD.,ARTISTIC APPARELS (PVT) LTD.,2001-2500
33,1170980001,Chine,Yunhan International (HK) Limited,"Suzhou Xijin Fashion Co.,Ltd",101-500
34,1154667002,Chine,"ZHEJIANG HUADENG CLOTHING CO.,LTD.","ZHEJIANG HUADENG CLOTHING CO.,LTD.",501-1000
35,1154667002,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,AKAR TEKSTIL GIDA VE TURIZM SANAYI TICARET ANONIM SIRKET,501-1000
36,1154667002,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,EZKA TEKSTIL TURIZM GIDA SAN. VE DIS TIC. LTD.,101-500
37,1128713015,Chine,"Zhejiang Tongli Clothing Co.,Ltd","Zhejiang Tongli Clothing Co., Ltd",2501-3000
38,1154667001,Chine,"SUZHOU LAOHONG KNITTING GARMENT CO.,LTD.","Shandong Wanli Fashion Co.,Ltd Jiu Nv Subsidiary",501-1000
39,1154667001,Turquie,AKAR TEKSTIL GIDA VE TURIZM SANAYI TICARET ANONIM SIRKETI,AKAR TEKSTIL GIDA VE TURIZM SANAYI TICARET ANONIM SIRKET,501-1000
40,1154667001,Turquie,AKAR TEKSTIL GIDA VE TURIZM SANAYI TICARET ANONIM SIRKETI,KULA SUBES AKAR TEKSTIL GIDA TURIZM SAN TIC AS.,501-1000
41,1153870002,Inde,PARAMOUNT PRODUCTS PVT LTD,Paramount Products Private Limited - Unit E 16,501-1000
42,1163972002,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,Tancheng Hezhong Fashion Co Ltd,101-500
43,1136438001,Chine,HK ZHAO XUAN HOLDINGS COMPANY  LIMITED,Dongguan Dongsheng Shoes Ltd,101-500
44,0993840017,Bangladesh,ORBITEX KNITWEAR LIMITED,ORBITEX KNITWEAR LIMITED,5001-5500
45,0993840017,Chine,"BEIJING TOPNEW IMPORT & EXPORT CO., LTD","Shandong Richland Garment Co.,Ltd",1501-2000
46,1181795002,Inde,CTA APPARELS PVT LTD,CTA APPARELS (Unit D-235),1501-2000
47,1155546001,Chine,Yunhan International (HK) Limited,"Suzhou Yunhan Fashion First Branch Co,Ltd",101-500
48,1147211002,Inde,CTA APPARELS PVT LTD,CTA APPARELS (Unit D-235),1501-2000
49,1147246001,Indonésie,PT Pan Pacific Jakarta,PT. Bangun Maju Lestari,1001-1500
50,1153316001,Chine,"Qingdao HYC Apparel Co., Ltd","Qingdao HYC Apparel Co., Ltd",501-1000
51,1065968014,Cambodge,"DAKOTA IND. CO. LTD.,",Vanco Industrial Company Ltd (Cambodia),2501-3000
52,1065968014,Cambodge,NINGBO SEDUNO IMP & EXP CO.LTD,"FUSHUN CAMBO FASHION CO., LTD.",1001-1500
53,1147246002,Indonésie,PT Pan Pacific Jakarta,PT. Bangun Maju Lestari,1001-1500
54,1147250001,Turquie,ALD DIS TICARET A.S.,ALDERS TEKSTIL SAN. VE TIC. A.S. AGRI BRANCH,101-500
55,1139039002,Inde,GLOBAL MODE AND ACCESSORIES PVT. LTD.,GLOBAL MODE - UNIT C 120,501-1000
56,1156885002,Chine,"ZHEJIANG HUADENG CLOTHING CO.,LTD.","ZHEJIANG HUADENG CLOTHING CO.,LTD.",501-1000
57,1170527002,Cambodge,NINGBO SEDUNO IMP & EXP CO.LTD,"SEDUNO CAMBO KNITTING CO.,LTD",2001-2500
58,1169063001,Cambodge,NINGBO SEDUNO IMP & EXP CO.LTD,"SEDUNO CAMBO KNITTING CO.,LTD",2001-2500
59,1175372002,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Serendipity Fashion Co.,ltd",101-500
60,1131302001,Chine,GOLDSHINE INTERNATIONAL TRADING  LIMITED,"Ningguo Longxing Headwear Co.,Ltd.",101-500
61,1156868003,Inde,VAMANI OVERSEAS PVT LTD,Vamani Overseas Pvt Ltd Unit 2,1001-1500
62,1162650001,Inde,SHAHI EXPORT PVT.LTD,SHAHI EXPORTS (Unit 9),2501-3000
63,1161578001,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"NINGBO SEDUNO YUKANG FASHION  CO., LTD",101-500
64,1154179002,Chine,Yunhan International (HK) Limited,"Suzhou Xijin Fashion Co.,Ltd",101-500
65,1181795001,Inde,CTA APPARELS PVT LTD,CTA APPARELS (Unit D-235),1501-2000
66,1186154001,Cambodge,"DAKOTA IND. CO. LTD.,",Vanco Industrial Company Ltd (Cambodia),2501-3000
67,1161577002,Chine,"SUZHOU LAOHONG KNITTING GARMENT CO.,LTD.","Shandong Wanli Fashion Co.,Ltd Jiu Nv Subsidiary",501-1000
68,1065968016,Cambodge,NINGBO SEDUNO IMP & EXP CO.LTD,"Seduno Investment Cambo Fashion Co.,Ltd.",501-1000
69,1149913002,Inde,CTA APPARELS PVT LTD,CTA APPARELS (Unit D-235),1501-2000
70,1171268001,Chine,Yunhan International (HK) Limited,"Suzhou Yunhan Fashion First Branch Co,Ltd",101-500
71,1169530002,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,"Xuancheng Jinning Fashion Co.,Ltd",101-500
72,1171270002,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Changshu Silk Gmts Co., Ltd",101-500
73,1171272001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Serendipity Fashion Co.,ltd",101-500
74,1158197001,Chine,Yunhan International (HK) Limited,"Suzhou Yunhan Fashion First Branch Co,Ltd",101-500
75,1171273001,Chine,Yunhan International (HK) Limited,"Suzhou Yunhan Fashion First Branch Co,Ltd",101-500
76,1164787002,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"Ningbo Orient Hongye Knit Co.,Ltd",501-1000
77,1164787002,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,FAYSAL TASKIN TASKIN TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,101-500
78,1164787002,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,KUZEY KAFKAS TEKSTIL -  Cagatay Uysal,101-500
79,1164787002,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,NIKSAR ASLAN TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,101-500
80,1164787002,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,SRT GIYIM DIS TICARET LIMITED STI,101-500
81,1167150002,Chine,Hangzhou Wangsheng Garments Co Ltd.,Hangzhou Wangsheng Garments Co. Ltd,101-500
82,1163482002,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,HANGZHOU JIAYI GARMENT COMPANY LTD,501-1000
83,1163482002,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,"Pinghu Chengpei Garment Co., Ltd",101-500
84,1155258004,Chine,"Zhejiang Tongli Clothing Co.,Ltd","Zhejiang Tongli Clothing Co., Ltd",2501-3000
85,1153433001,Myanmar (Birmanie),TIAN YU SHOES INTERNATIONAL  COMPANY LIMITED,"Tian Yu International Co.,LTD",2001-2500
86,1161980001,Indonésie,Nobland International Inc,PT. Woori Sukses Apparel,1501-2000
87,1161980001,Indonésie,PT Pan Pacific Jakarta,PT. Bangun Maju Lestari,1001-1500
88,1159608001,Chine,Yunhan International (HK) Limited,"Anhui Lexthon Apparel Co., Ltd.",1001-1500
89,1172038006,Chine,Yunhan International (HK) Limited,"Suzhou Xijin Fashion Co.,Ltd",101-500
90,1170334001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,Chuzhou Sida Silk Garment Co,101-500
91,1122105006,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
92,1138003004,Bangladesh,STERLING DENIMS LTD,Sterling Denim Ltd.,4001-4500
93,1169790004,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Changshu Silk Gmts Co., Ltd",101-500
94,1169790004,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Serendipity Fashion Co.,ltd",101-500
95,1155541001,Chine,"SUZHOU WANLI KNITTING CO.,LTD","Heze City Mudan District Wancheng Garment Co., Ltd.",501-1000
96,1155541001,Chine,"SUZHOU WANLI KNITTING CO.,LTD","JUYE WANLI GARMENT CO., LTD.",501-1000
97,1133362002,Myanmar (Birmanie),TIAN YU SHOES INTERNATIONAL  COMPANY LIMITED,"Tian Yu International Co.,LTD",2001-2500
98,1133362006,Myanmar (Birmanie),TIAN YU SHOES INTERNATIONAL  COMPANY LIMITED,"Tian Yu International Co.,LTD",2001-2500
99,1145316001,Myanmar (Birmanie),"Polly Trading Co.,Limited","Zhejiang Tongli Clothing (Myanmar) Co.,Ltd",1501-2000
100,1126311007,Indonésie,PT SAI APPAREL INDUSTRIES,PT.Sai Apparel Industries,7501-8000
101,1130011001,Chine,"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.",Jiangsu Century Liaoyuan Knitted Wear Co.Ltd.,101-500
102,1130011001,Myanmar (Birmanie),"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.","JIU SHENG(MYANMAR) KNITTED WEAR CO. CO.,LTD",2501-3000
103,1066559006,Bangladesh,NATURAL DENIMS LTD,Natural Denim Ltd,7501-8000
104,1162010003,Myanmar (Birmanie),"BEIJING TOPNEW IMPORT & EXPORT CO., LTD","Keys Shine Co.,Ltd.",3001-3500
105,1129084002,Myanmar (Birmanie),Suzhou Silk Fashion ( Myanamar) Co. Ltd.,Suzhou Silk (Myanmar) Fashion Co Lt,501-1000
106,1163355001,Chine,"Putian Sinosun Imp & Exp. Co., ltd","PUTIAN SHUANGMEI FOOTWEAR CO.,LTD",101-500
107,1128522002,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
108,1144829001,Bangladesh,HAMS GARMENTS LTD.,HAMS GARMENTS LTD.,4501-5000
109,1128522001,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
110,1156526003,Bangladesh,"MERIM CO., LIMITED",MERIM CO. LTD,4001-4500
111,1156526003,Bangladesh,SEJEE COMPANY LIMITED,MERIM CO. LTD,4001-4500
112,1145337001,Bangladesh,STERLING STYLES LTD,STERLING STYLES LTD,4001-4500
113,1145337001,Bangladesh,STERLING STYLES LTD,Sterling Denim Ltd.,4001-4500
114,1125720005,Bangladesh,SAN Apparels Limited,SAN Apparels Ltd.,2001-2500
115,0971104019,Bangladesh,ALLIANCE STITCHES LIMITED,Alliance Stitches Ltd.,1001-1500
116,1126311002,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
117,1126311002,Indonésie,PT SAI APPAREL INDUSTRIES,PT.Sai Apparel Industries,7501-8000
118,0882925041,Bangladesh,FAKIR APPARELS LTD.,FAKIR APPARELS LTD.,8501-9000
119,0882925041,Bulgarie,KOUSH MODA LTD.,"KOUSH MODA LTD,YABALCHEVO BRANCH",101-500
120,0882925041,Inde,Victus Dyeings,Victus Dyeings (UNIT-1),1001-1500
121,1058332025,Bangladesh,WINDY APPARELS LTD,Tanaz Fashions Ltd,2001-2500
122,1058332025,Bangladesh,WINDY APPARELS LTD,Vintage Garments Ltd,1501-2000
123,1157526005,Bangladesh,ASWAD COMPOSITE MILLS LTD.,ASWAD COMPOSITE MILLS LTD. ( U-2),2001-2500
124,1157526005,Bangladesh,ASWAD COMPOSITE MILLS LTD.,Nafa Apparels Ltd,2501-3000
125,1154469001,Chine,"Qingdao HYC Apparel Co., Ltd","Qingdao HYC Apparel Co., Ltd",501-1000
126,1154469001,Chine,"Qingdao HYC Apparel Co., Ltd",Shandong TianYuan Garment Co.Ltd,1501-2000
127,1154469001,Chine,"Qingdao HYC Apparel Co., Ltd","Shandong Tianyuan Qingchenyue Garment Co.,Ltd",501-1000
128,1154469004,Chine,"Qingdao HYC Apparel Co., Ltd","Qingdao HYC Apparel Co., Ltd",501-1000
129,1154469004,Chine,"YORK FASHION MANUFACTURE CO., (QINGDAO) LTD.","Duishang (Shandong) Garments Co., LTD",501-1000
130,1154469004,Chine,"YORK FASHION MANUFACTURE CO., (QINGDAO) LTD.",York Fashion Manufacture Co.(Qingdao) Ltd.,101-500
131,1154469004,Myanmar (Birmanie),Bright Sunshine International Co  Ltd,"Saung Oo Shwe Nay(Golden Sunshine) Co.,Ltd",3001-3500
132,1055982010,Bangladesh,ASWAD COMPOSITE MILLS LTD.,ASWAD COMPOSITE MILLS LTD. ( U-2),2001-2500
133,1157526001,Bangladesh,ASWAD COMPOSITE MILLS LTD.,ASWAD COMPOSITE MILLS LTD. ( U-2),2001-2500
134,1154866001,Chine,"ZHEJIANG HUADENG CLOTHING CO.,LTD.","ZHEJIANG HUADENG CLOTHING CO.,LTD.",501-1000
135,1169790001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Changshu Silk Gmts Co., Ltd",101-500
136,1167768003,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Anhui Sida Silk Garment Co., Ltd.",101-500
137,1110131001,Bangladesh,A.K.M. KNIT WEAR LTD.,A.K.M. Knit Wear Ltd.,N/A
138,1164787001,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"Ningbo Orient Hongye Knit Co.,Ltd",501-1000
139,1164787001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,EZKA TEKSTIL TURIZM GIDA SAN. VE DIS TIC. LTD.,101-500
140,1164787001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,FAYSAL TASKIN TASKIN TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,101-500
141,1164787001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,KUZEY KAFKAS TEKSTIL -  Cagatay Uysal,101-500
142,1164787001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,NIKSAR ASLAN TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,101-500
143,1137490001,Bangladesh,VERTEX WEAR LTD.,Vertex Wear Limited.,4501-5000
144,1135874005,Indonésie,PT Pan Pacific Jakarta,PT. Bangun Maju Lestari,1001-1500
145,1133227001,Chine,"Wuhan Winsome Knitting Industrial  Co., Ltd.","Wuhan Winsome Knitting Industrial CO., Ltd.",501-1000
146,1141071004,Chine,ZHEJIANG HEMPELZHI TEXTILE  TECHNOLOGY CO. LTD,Hangzhou Weiliang Gmts Co. Ltd.,101-500
147,1164061002,Cambodge,NINGBO SEDUNO IMP & EXP CO.LTD,"SEDUNO CAMBO KNITTING CO.,LTD",2001-2500
148,1156885001,Chine,"ZHEJIANG HUADENG CLOTHING CO.,LTD.","ZHEJIANG HUADENG CLOTHING CO.,LTD.",501-1000
149,1066926010,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Jaya Sukabumi,3501-4000
150,1122105015,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
151,1069414016,Bangladesh,JM FABRICS LTD.,JM Fabrics Ltd,4501-5000
152,1178436001,Bangladesh,AKH KNITTING & DYEING LTD.,AKH KNITTING & DYEING LTD.,6501-7000
153,1178436001,Bangladesh,FAKIR APPARELS LTD.,FAKIR APPARELS LTD.,8501-9000
154,1130014002,Chine,"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.","Gushi County Jin Tai Knitwear Co., LTD.",101-500
155,1130014002,Chine,"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.",Jiangsu Century Liaoyuan Knitted Wear Co.Ltd.,101-500
156,1130014002,Myanmar (Birmanie),"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.","JIU SHENG(MYANMAR) KNITTED WEAR CO. CO.,LTD",2501-3000
157,1153747002,Chine,"Putian Sinosun Imp & Exp. Co., ltd","PUTIAN SHUANGMEI FOOTWEAR CO.,LTD",101-500
158,1155691001,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
159,1167253002,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Jaya Sukabumi,3501-4000
160,1132611006,Myanmar (Birmanie),TIAN YU SHOES INTERNATIONAL  COMPANY LIMITED,"Tian Yu International Co.,LTD",2001-2500
161,1164422007,Chine,KINGSRICH (H.K.) LIMITED,Hubei Manly Fashion,101-500
162,1145299001,Chine,SHANGHAI HUAXIANG W.DR.CO.LTD.,Funan huaxiang,501-1000
163,1169732001,Inde,VAMANI OVERSEAS PVT LTD,Vamani Overseas Pvt Ltd Unit 2,1001-1500
164,1129879003,Bangladesh,Q COLLECTION PTE. LTD,SQ Birichina Ltd,5001-5500
165,1145276001,Bangladesh,STERLING DENIMS LTD,Sterling Denim Ltd.,4001-4500
166,1152722002,Bangladesh,ALLIANCE STITCHES LIMITED,Alliance Stitches Ltd.,1001-1500
167,1153730002,Myanmar (Birmanie),TIAN YU SHOES INTERNATIONAL  COMPANY LIMITED,"Tian Yu International Co.,LTD",2001-2500
168,1066926004,Inde,VAMANI OVERSEAS PVT LTD,Vamani Overseas Pvt Ltd Unit 2,1001-1500
169,1066926004,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Jaya Sukabumi,3501-4000
170,1147534003,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Dunia Busana,1001-1500
171,1135874003,Vietnam,"Namyang International Co.,LTD","NAMYANG DELTA CO., LTD ( Vietnam )",1501-2000
172,1004271030,Mexique,Distribuidora Textil Arttex S.A de  C.V.,Distribuidora Textil Arttex S.A de C.V.,501-1000
173,1004271030,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,ALPSU ORDU TEKSTIL KONFEKSIYON SANAYI VE TICARET LIMITED SIRKETI,N/A
174,1173451001,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"Ningbo Orient Hongye Knit Co.,Ltd",501-1000
175,1173451001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,FAYSAL TASKIN TASKIN TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,101-500
176,1173451001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,KUZEY KAFKAS TEKSTIL -  Cagatay Uysal,101-500
177,1173451001,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,MOLA TEKSTIL,101-500
178,1157325001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Changshu Silk Gmts Co., Ltd",101-500
179,1124621007,Myanmar (Birmanie),"BEIJING TOPNEW IMPORT & EXPORT CO., LTD","Keys Shine Co.,Ltd.",3001-3500
180,1134231012,Myanmar (Birmanie),Bright Sunshine International Co  Ltd,"Myanmar York Fashion Co.,Ltd",2001-2500
181,1066926005,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Jaya Sukabumi,3501-4000
182,1064008007,Chine,"Zhejiang Tongli Clothing Co.,Ltd","Zhejiang Tongli Clothing Co., Ltd",2501-3000
183,1064008007,Myanmar (Birmanie),"Polly Trading Co.,Limited","Zhejiang Tongli Clothing (Myanmar) Co.,Ltd",1501-2000
184,1110159004,Bangladesh,A.K.M. KNIT WEAR LTD.,A.K.M. Knit Wear Ltd.,N/A
185,1182222001,Chine,NINGBO SEDUNO IMP & EXP CO.LTD,"NINGBO SEDUNO YUKANG FASHION  CO., LTD",101-500
186,1167253001,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Jaya Sukabumi,3501-4000
187,1078982006,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,"Xuancheng Jinning Fashion Co.,Ltd",101-500
188,1126311004,Bangladesh,NEWAGE APPARELS LIMITED,NEWAGE APPARELS LIMITED,6001-6500
189,1126311004,Indonésie,PT SAI APPAREL INDUSTRIES,PT.Sai Apparel Industries,7501-8000
190,1136891001,Chine,"FLY EARTH CO.,LTD.","Shuyang Bloomfit Industrial & Trading Co., Ltd.",101-500
191,1147534014,Indonésie,"D & J TRADING CO.,LTD",PT. Doo San Dunia Busana,1001-1500
192,1156885003,Chine,"ZHEJIANG HUADENG CLOTHING CO.,LTD.","ZHEJIANG HUADENG CLOTHING CO.,LTD.",501-1000
193,1110119003,Bangladesh,PIMKIE APPARELS LTD,PIMKIE APPARELS LTD.,1501-2000
194,1154469003,Chine,"Qingdao HYC Apparel Co., Ltd","Qingdao HYC Apparel Co., Ltd",501-1000
195,1154469003,Chine,"Qingdao HYC Apparel Co., Ltd",Shandong TianYuan Garment Co.Ltd,1501-2000
196,1154469003,Chine,"Qingdao HYC Apparel Co., Ltd","Shandong Tianyuan Qingchenyue Garment Co.,Ltd",501-1000
197,1164422006,Chine,KINGSRICH (H.K.) LIMITED,Hubei Manly Fashion,101-500
198,1153138003,Indonésie,"D & J TRADING CO.,LTD",PT Kreasi Garment Cirebon,1001-1500
199,1066559010,Bangladesh,NATURAL DENIMS LTD,Natural Denim Ltd,7501-8000
200,1163293001,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,"Xuancheng Jinning Fashion Co.,Ltd",101-500
201,0975845043,Bangladesh,LIBERTY KNITWEAR LIMITED.,A-One Polar Limited,8001-8500
202,1154780001,Myanmar (Birmanie),TIAN YU SHOES INTERNATIONAL  COMPANY LIMITED,"Tian Yu International Co.,LTD",2001-2500
203,1171670002,Bangladesh,AKH KNITTING & DYEING LTD.,AKH KNITTING & DYEING LTD.,6501-7000
204,1171670002,Bangladesh,REEDISHA KNITEX LTD,Reedisha Knitex Ltd,3001-3500
205,1156066001,Bangladesh,MILLENNIUM TEXTILES (SOUTHERN) LTD.,MILLENNIUM TEXTILES ( SOUTHERN ) LTD,2001-2500
206,1141260002,Bangladesh,Q COLLECTION PTE. LTD,SQ Birichina Ltd,5001-5500
207,1163560010,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,EZKA TEKSTIL TURIZM GIDA SAN. VE DIS TIC. LTD.,101-500
208,1163560010,Turquie,UNITEKS TEKSTIL GIDA SAN. DIS TIC. A.S.,KUZEY KAFKAS TEKSTIL -  Cagatay Uysal,101-500
209,1155363004,Chine,"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.",Jiangsu Century Liaoyuan Knitted Wear Co.Ltd.,101-500
210,1155363004,Myanmar (Birmanie),"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.","JIU SHENG(MYANMAR) KNITTED WEAR CO. CO.,LTD",2501-3000
211,1130014005,Myanmar (Birmanie),"Jiangsu Century Liaoyuan Knitted Wear Co., Ltd.","JIU SHENG(MYANMAR) KNITTED WEAR CO. CO.,LTD",2501-3000
212,1169530003,Chine,HANGZHOU JIAYI GARMENT COMPANY LTD,"Xuancheng Jinning Fashion Co.,Ltd",101-500
213,1143462001,Bangladesh,APEX LINGERIE LIMITED,Apex Lingerie Ltd.,3501-4000
214,1176080001,Turquie,ROTEKS TEKSTIL IHR.SAN.VE TIC.A.S.,EGUM TEKSTIL SANAYI TIC LTD STI,1-100
215,1176080001,Turquie,ROTEKS TEKSTIL IHR.SAN.VE TIC.A.S.,ROND TEKSTIL TURZ. SAN. VE TIC. LTD. STI,101-500
216,1154595001,Myanmar (Birmanie),FULL WEALTH INC LTD,YACHENG FOOTWEAR COMPANY LIMITED,1001-1500
217,1129186006,Bangladesh,STERLING STYLES LTD,STERLING STYLES LTD,4001-4500
218,1113879004,Bangladesh,Q COLLECTION PTE. LTD,SQ Birichina Ltd,5001-5500
219,1142432002,Chine,"Putian Sinosun Imp & Exp. Co., ltd","PUTIAN SHUANGMEI FOOTWEAR CO.,LTD",101-500
220,1126311005,Indonésie,PT SAI APPAREL INDUSTRIES,PT.Sai Apparel Industries,7501-8000
221,1175372001,Chine,SERENDIPITY INTERNATIONAL TRADING LTD.,"Serendipity Fashion Co.,ltd",101-500
222,1154469007,Myanmar (Birmanie),Bright Sunshine International Co  Ltd,"Saung Oo Shwe Nay(Golden Sunshine) Co.,Ltd",3001-3500
